Concept,Loudness
Philosophy_Feat_6,1.0000001032893933
Cryptography_Feat_3,1.0000000882411364
Medicine_Feat_10,1.0000000846331216
Mechanics_Feat_14,1.0000000694493871
Botany_Feat_15,1.000000066266301
Geology_Feat_2,1.0000000620935345
Aerospace_Feat_6,1.0000000614456492
History_Feat_4,1.0000000604411559
Aerospace_Feat_14,1.0000000604352264
Cryptography_Feat_12,1.0000000583486617
Sports_Feat_15,1.0000000583474864
Cinema_Feat_15,1.0000000580855688
Legal_Feat_0,1.0000000578545878
Art_Feat_15,1.0000000574830124
Biotech_CRISPR,1.0000000573354926
Culinary_Feat_12,1.0000000562327052
Politics_Feat_2,1.0000000552035817
Botany_Feat_13,1.0000000550170804
Mathematics_Feat_10,1.0000000540617962
Culinary_Feat_1,1.000000052871971
Art_Feat_12,1.0000000524177775
Botany_Feat_10,1.0000000517433816
Cryptography_Feat_14,1.000000051386061
Emotions_Feat_10,1.0000000507783127
Meteorology_Feat_14,1.0000000486073022
Oceanography_Feat_4,1.0000000482686324
Mechanics_Feat_12,1.0000000481552334
Meteorology_Feat_0,1.0000000480953775
Emotions_Feat_1,1.0000000480738147
Botany_Feat_4,1.000000047873056
Art_Feat_2,1.00000004736678
Emotions_Feat_11,1.0000000469858348
Mechanics_Feat_13,1.0000000469458183
Politics_Feat_3,1.0000000468714172
Aerospace_Feat_0,1.000000046863568
Art_Feat_5,1.0000000465732541
Botany_Feat_5,1.0000000462420555
Aerospace_Feat_5,1.000000046196377
Chemistry_Feat_7,1.0000000453464624
Oceanography_Feat_6,1.000000045038783
Psychology_Feat_15,1.0000000448365403
Legal_Feat_10,1.0000000433431397
Psychology_Feat_14,1.0000000428569538
Oceanography_Feat_2,1.0000000427683409
Art_Feat_4,1.0000000420972575
Aerospace_Feat_10,1.000000041971325
Architecture_Feat_14,1.000000040489244
Sports_Feat_3,1.0000000402028233
Astro_Feat_10,1.0000000401680667
Mathematics_Feat_7,1.00000004015262
Cinema_Feat_12,1.000000040103858
Linguistics_Feat_2,1.0000000400352567
Zoology_Paws,1.0000000399605575
Astro_Quasar,1.0000000394388713
Finance_Feat_15,1.0000000393197968
Art_Feat_3,1.0000000390197439
Zoology_Feat_10,1.0000000389175339
Mathematics_Feat_11,1.0000000389102017
Biotech_Feat_14,1.0000000387646608
Meteorology_Feat_5,1.0000000387074315
Geology_Feat_8,1.0000000386985421
